"NAME","Age_Range","Total","year"
"Wisconsin","15.to.24.years",25702,2005
"Wisconsin","25.to.34.years",185222,2005
"Wisconsin","35.to.44.years",326917,2005
"Wisconsin","45.to.54.years",390292,2005
"Wisconsin","55.to.59.years",159860,2005
"Wisconsin","60.to.64.years",120152,2005
"Wisconsin","65.to.74.years",182352,2005
"Wisconsin","75.to.84.years",130324,2005
"Wisconsin","85.years.and.over",35620,2005
"Wyoming","total",146504,2005
"Wyoming","15.to.24.years",3234,2005
"Wyoming","25.to.34.years",16526,2005
"Wyoming","35.to.44.years",25001,2005
"Wyoming","45.to.54.years",39587,2005
"Wyoming","55.to.59.years",16417,2005
"Wyoming","60.to.64.years",13094,2005
"Wyoming","65.to.74.years",18048,2005
"Wyoming","75.to.84.years",11441,2005
"Wyoming","85.years.and.over",3156,2005
"Puerto Rico","total",934479,2005
"Puerto Rico","15.to.24.years",10131,2005
"Puerto Rico","25.to.34.years",86304,2005
"Puerto Rico","35.to.44.years",157031,2005
"Puerto Rico","45.to.54.years",184048,2005
"Puerto Rico","55.to.59.years",110481,2005
"Puerto Rico","60.to.64.years",96440,2005
"Puerto Rico","65.to.74.years",157244,2005
"Puerto Rico","75.to.84.years",101671,2005
"Puerto Rico","85.years.and.over",31129,2005
"Alabama","total",1289272,2006
"Alabama","15.to.24.years",22836,2006
"Alabama","25.to.34.years",139074,2006
"Alabama","35.to.44.years",246593,2006
"Alabama","45.to.54.years",291707,2006
"Alabama","55.to.59.years",142602,2006
"Alabama","60.to.64.years",117461,2006
"Alabama","65.to.74.years",175943,2006
"Alabama","75.to.84.years",119263,2006
"Alabama","85.years.and.over",33793,2006
"Alaska","total",148249,2006
"Alaska","15.to.24.years",2082,2006
"Alaska","25.to.34.years",15752,2006
"Alaska","35.to.44.years",33290,2006
"Alaska","45.to.54.years",46828,2006
"Alaska","55.to.59.years",17196,2006
"Alaska","60.to.64.years",12453,2006
"Alaska","65.to.74.years",12710,2006
"Alaska","75.to.84.years",6781,2006
"Alaska","85.years.and.over",1157,2006
"Arizona","total",1523041,2006
"Arizona","15.to.24.years",24888,2006
"Arizona","25.to.34.years",194645,2006
"Arizona","35.to.44.years",290438,2006
"Arizona","45.to.54.years",330000,2006
"Arizona","55.to.59.years",157942,2006
"Arizona","60.to.64.years",127988,2006
"Arizona","65.to.74.years",205336,2006
"Arizona","75.to.84.years",151021,2006
"Arizona","85.years.and.over",40783,2006
"Arkansas","total",753412,2006
"Arkansas","15.to.24.years",15887,2006
"Arkansas","25.to.34.years",82804,2006
"Arkansas","35.to.44.years",133782,2006
"Arkansas","45.to.54.years",165391,2006
"Arkansas","55.to.59.years",82830,2006
"Arkansas","60.to.64.years",68579,2006
"Arkansas","65.to.74.years",108515,2006
"Arkansas","75.to.84.years",73695,2006
"Arkansas","85.years.and.over",21929,2006
"California","total",7102197,2006
"California","15.to.24.years",59450,2006
"California","25.to.34.years",698201,2006
"California","35.to.44.years",1523593,2006
"California","45.to.54.years",1767921,2006
"California","55.to.59.years",786426,2006
"California","60.to.64.years",598344,2006
"California","65.to.74.years",849977,2006
"California","75.to.84.years",622955,2006
"California","85.years.and.over",195330,2006
"Colorado","total",1269421,2006
"Colorado","15.to.24.years",15103,2006
"Colorado","25.to.34.years",173801,2006
"Colorado","35.to.44.years",277664,2006
"Colorado","45.to.54.years",321432,2006
"Colorado","55.to.59.years",141676,2006
"Colorado","60.to.64.years",102206,2006
"Colorado","65.to.74.years",130871,2006
"Colorado","75.to.84.years",83113,2006
"Colorado","85.years.and.over",23555,2006
"Connecticut","total",921382,2006
"Connecticut","15.to.24.years",7417,2006
"Connecticut","25.to.34.years",87737,2006
"Connecticut","35.to.44.years",195984,2006
"Connecticut","45.to.54.years",237249,2006
"Connecticut","55.to.59.years",101573,2006
"Connecticut","60.to.64.years",80949,2006
"Connecticut","65.to.74.years",105784,2006
"Connecticut","75.to.84.years",78859,2006
"Connecticut","85.years.and.over",25830,2006
"Delaware","total",238194,2006
"Delaware","15.to.24.years",3827,2006
"Delaware","25.to.34.years",27045,2006
"Delaware","35.to.44.years",47820,2006
"Delaware","45.to.54.years",53537,2006
"Delaware","55.to.59.years",24738,2006
"Delaware","60.to.64.years",21636,2006
"Delaware","65.to.74.years",31871,2006
"Delaware","75.to.84.years",21942,2006
"Delaware","85.years.and.over",5778,2006
"District of Columbia","total",114586,2006
"District of Columbia","15.to.24.years",689,2006
