"NAME","Age_Range","Total","year"
"North Carolina","55.to.59.years",57724,2005
"North Carolina","60.to.64.years",35191,2005
"North Carolina","65.to.74.years",49652,2005
"North Carolina","75.to.84.years",42310,2005
"North Carolina","85.years.and.over",17278,2005
"North Dakota","total",87947,2005
"North Dakota","15.to.24.years",19702,2005
"North Dakota","25.to.34.years",22794,2005
"North Dakota","35.to.44.years",12798,2005
"North Dakota","45.to.54.years",10967,2005
"North Dakota","55.to.59.years",4557,2005
"North Dakota","60.to.64.years",2930,2005
"North Dakota","65.to.74.years",4497,2005
"North Dakota","75.to.84.years",6456,2005
"North Dakota","85.years.and.over",3246,2005
"Ohio","total",1355211,2005
"Ohio","15.to.24.years",202425,2005
"Ohio","25.to.34.years",341120,2005
"Ohio","35.to.44.years",265602,2005
"Ohio","45.to.54.years",225237,2005
"Ohio","55.to.59.years",72702,2005
"Ohio","60.to.64.years",53632,2005
"Ohio","65.to.74.years",79876,2005
"Ohio","75.to.84.years",75252,2005
"Ohio","85.years.and.over",39365,2005
"Oklahoma","total",443544,2005
"Oklahoma","15.to.24.years",81708,2005
"Oklahoma","25.to.34.years",119686,2005
"Oklahoma","35.to.44.years",89837,2005
"Oklahoma","45.to.54.years",66936,2005
"Oklahoma","55.to.59.years",21245,2005
"Oklahoma","60.to.64.years",14596,2005
"Oklahoma","65.to.74.years",25286,2005
"Oklahoma","75.to.84.years",15483,2005
"Oklahoma","85.years.and.over",8767,2005
"Oregon","total",516227,2005
"Oregon","15.to.24.years",85493,2005
"Oregon","25.to.34.years",141358,2005
"Oregon","35.to.44.years",97959,2005
"Oregon","45.to.54.years",83639,2005
"Oregon","55.to.59.years",26088,2005
"Oregon","60.to.64.years",16350,2005
"Oregon","65.to.74.years",24129,2005
"Oregon","75.to.84.years",22856,2005
"Oregon","85.years.and.over",18355,2005
"Pennsylvania","total",1386092,2005
"Pennsylvania","15.to.24.years",167703,2005
"Pennsylvania","25.to.34.years",334016,2005
"Pennsylvania","35.to.44.years",265492,2005
"Pennsylvania","45.to.54.years",215599,2005
"Pennsylvania","55.to.59.years",81301,2005
"Pennsylvania","60.to.64.years",60350,2005
"Pennsylvania","65.to.74.years",97591,2005
"Pennsylvania","75.to.84.years",114621,2005
"Pennsylvania","85.years.and.over",49419,2005
"Rhode Island","total",151450,2005
"Rhode Island","15.to.24.years",15710,2005
"Rhode Island","25.to.34.years",39066,2005
"Rhode Island","35.to.44.years",27451,2005
"Rhode Island","45.to.54.years",24954,2005
"Rhode Island","55.to.59.years",10202,2005
"Rhode Island","60.to.64.years",7288,2005
"Rhode Island","65.to.74.years",8422,2005
"Rhode Island","75.to.84.years",12370,2005
"Rhode Island","85.years.and.over",5987,2005
"South Carolina","total",489287,2005
"South Carolina","15.to.24.years",78541,2005
"South Carolina","25.to.34.years",130260,2005
"South Carolina","35.to.44.years",104232,2005
"South Carolina","45.to.54.years",78892,2005
"South Carolina","55.to.59.years",28667,2005
"South Carolina","60.to.64.years",19532,2005
"South Carolina","65.to.74.years",24433,2005
"South Carolina","75.to.84.years",17262,2005
"South Carolina","85.years.and.over",7468,2005
"South Dakota","total",96085,2005
"South Dakota","15.to.24.years",19678,2005
"South Dakota","25.to.34.years",21728,2005
"South Dakota","35.to.44.years",15584,2005
"South Dakota","45.to.54.years",13086,2005
"South Dakota","55.to.59.years",5211,2005
"South Dakota","60.to.64.years",2950,2005
"South Dakota","65.to.74.years",5646,2005
"South Dakota","75.to.84.years",7802,2005
"South Dakota","85.years.and.over",4400,2005
"Tennessee","total",727293,2005
"Tennessee","15.to.24.years",105303,2005
"Tennessee","25.to.34.years",211669,2005
"Tennessee","35.to.44.years",156414,2005
"Tennessee","45.to.54.years",115306,2005
"Tennessee","55.to.59.years",35424,2005
"Tennessee","60.to.64.years",26209,2005
"Tennessee","65.to.74.years",39185,2005
"Tennessee","75.to.84.years",26842,2005
"Tennessee","85.years.and.over",10941,2005
"Texas","total",2815491,2005
"Texas","15.to.24.years",453965,2005
"Texas","25.to.34.years",849944,2005
"Texas","35.to.44.years",602035,2005
"Texas","45.to.54.years",433167,2005
"Texas","55.to.59.years",141741,2005
"Texas","60.to.64.years",92535,2005
"Texas","65.to.74.years",117656,2005
"Texas","75.to.84.years",88672,2005
"Texas","85.years.and.over",35776,2005
"Utah","total",233160,2005
"Utah","15.to.24.years",51186,2005
"Utah","25.to.34.years",82826,2005
"Utah","35.to.44.years",38222,2005
"Utah","45.to.54.years",28544,2005
"Utah","55.to.59.years",9257,2005
"Utah","60.to.64.years",6366,2005
"Utah","65.to.74.years",7666,2005
"Utah","75.to.84.years",5466,2005
"Utah","85.years.and.over",3627,2005
"Vermont","total",71965,2005
"Vermont","15.to.24.years",10471,2005
"Vermont","25.to.34.years",18604,2005
"Vermont","35.to.44.years",14446,2005
"Vermont","45.to.54.years",11785,2005
"Vermont","55.to.59.years",3336,2005
"Vermont","60.to.64.years",2780,2005
"Vermont","65.to.74.years",4323,2005
"Vermont","75.to.84.years",4535,2005
"Vermont","85.years.and.over",1685,2005
"Virginia","total",877297,2005
"Virginia","15.to.24.years",127130,2005
"Virginia","25.to.34.years",238562,2005
"Virginia","35.to.44.years",187704,2005
"Virginia","45.to.54.years",140712,2005
"Virginia","55.to.59.years",49576,2005
"Virginia","60.to.64.years",31927,2005
"Virginia","65.to.74.years",46870,2005
"Virginia","75.to.84.years",38794,2005
"Virginia","85.years.and.over",16022,2005
"Washington","total",865925,2005
"Washington","15.to.24.years",136516,2005
"Washington","25.to.34.years",239969,2005
"Washington","35.to.44.years",176171,2005
"Washington","45.to.54.years",135748,2005
"Washington","55.to.59.years",50264,2005
"Washington","60.to.64.years",31289,2005
"Washington","65.to.74.years",42228,2005
"Washington","75.to.84.years",35251,2005
"Washington","85.years.and.over",18489,2005
"West Virginia","total",182413,2005
"West Virginia","15.to.24.years",29248,2005
"West Virginia","25.to.34.years",45368,2005
"West Virginia","35.to.44.years",33496,2005
"West Virginia","45.to.54.years",29697,2005
"West Virginia","55.to.59.years",11915,2005
"West Virginia","60.to.64.years",8620,2005
"West Virginia","65.to.74.years",11568,2005
"West Virginia","75.to.84.years",9057,2005
"West Virginia","85.years.and.over",3444,2005
"Wisconsin","total",663130,2005
"Wisconsin","15.to.24.years",111737,2005
"Wisconsin","25.to.34.years",163288,2005
"Wisconsin","35.to.44.years",120288,2005
"Wisconsin","45.to.54.years",97915,2005
"Wisconsin","55.to.59.years",34291,2005
"Wisconsin","60.to.64.years",25580,2005
"Wisconsin","65.to.74.years",37915,2005
"Wisconsin","75.to.84.years",47279,2005
"Wisconsin","85.years.and.over",24837,2005
"Wyoming","total",58431,2005
"Wyoming","15.to.24.years",12947,2005
"Wyoming","25.to.34.years",13189,2005
"Wyoming","35.to.44.years",11469,2005
"Wyoming","45.to.54.years",9456,2005
"Wyoming","55.to.59.years",2800,2005
"Wyoming","60.to.64.years",2913,2005
"Wyoming","65.to.74.years",2305,2005
"Wyoming","75.to.84.years",1760,2005
"Wyoming","85.years.and.over",1592,2005
"Puerto Rico","total",319839,2005
"Puerto Rico","15.to.24.years",29660,2005
"Puerto Rico","25.to.34.years",84260,2005
"Puerto Rico","35.to.44.years",68892,2005
"Puerto Rico","45.to.54.years",54637,2005
"Puerto Rico","55.to.59.years",21163,2005
"Puerto Rico","60.to.64.years",16180,2005
"Puerto Rico","65.to.74.years",26001,2005
"Puerto Rico","75.to.84.years",14298,2005
"Puerto Rico","85.years.and.over",4748,2005
"Alabama","total",506786,2006
"Alabama","15.to.24.years",69333,2006
"Alabama","25.to.34.years",137648,2006
"Alabama","35.to.44.years",103116,2006
"Alabama","45.to.54.years",80304,2006
"Alabama","55.to.59.years",30058,2006
"Alabama","60.to.64.years",22043,2006
"Alabama","65.to.74.years",31477,2006
"Alabama","75.to.84.years",21975,2006
"Alabama","85.years.and.over",10832,2006
"Alaska","total",81629,2006
"Alaska","15.to.24.years",10232,2006
"Alaska","25.to.34.years",24380,2006
"Alaska","35.to.44.years",18516,2006
"Alaska","45.to.54.years",15103,2006
"Alaska","55.to.59.years",4665,2006
"Alaska","60.to.64.years",4265,2006
"Alaska","65.to.74.years",2250,2006
"Alaska","75.to.84.years",1526,2006
"Alaska","85.years.and.over",692,2006
"Arizona","total",701951,2006
"Arizona","15.to.24.years",91569,2006
"Arizona","25.to.34.years",206050,2006
"Arizona","35.to.44.years",150762,2006
"Arizona","45.to.54.years",106606,2006
"Arizona","55.to.59.years",40295,2006
"Arizona","60.to.64.years",25240,2006
"Arizona","65.to.74.years",33908,2006
"Arizona","75.to.84.years",29162,2006
"Arizona","85.years.and.over",18359,2006
"Arkansas","total",350016,2006
"Arkansas","15.to.24.years",51368,2006
"Arkansas","25.to.34.years",92517,2006
"Arkansas","35.to.44.years",71034,2006
