"GEOID","NAME","year","med_incomeE","med_rentE","region_group","region_name","rent_to_income_ratio"
10,"Delaware",2009,56860,949,3,"Mid-Atlantic",0.2
11,"District of Columbia",2009,59290,1059,3,"Mid-Atlantic",0.214
12,"Florida",2009,44736,952,4,"Southeast",0.255
13,"Georgia",2009,47590,800,4,"Southeast",0.202
15,"Hawaii",2009,64098,1293,9,"Pacific Southwest",0.242
16,"Idaho",2009,44926,694,10,"Pacific Northwest",0.185
20,"Kansas",2009,47817,671,7,"Central Plains",0.168
17,"Illinois",2009,53966,828,5,"Great Lakes",0.184
18,"Indiana",2009,45424,687,5,"Great Lakes",0.181
19,"Iowa",2009,48044,611,7,"Central Plains",0.153
21,"Kentucky",2009,40072,613,4,"Southeast",0.184
22,"Louisiana",2009,42492,715,6,"South Central",0.202
23,"Maine",2009,45734,722,1,"New England",0.189
24,"Maryland",2009,69272,1108,3,"Mid-Atlantic",0.192
25,"Massachusetts",2009,64081,988,1,"New England",0.185
26,"Michigan",2009,45255,716,5,"Great Lakes",0.19
27,"Minnesota",2009,55616,757,5,"Great Lakes",0.163
28,"Mississippi",2009,36646,644,4,"Southeast",0.211
29,"Missouri",2009,45229,668,7,"Central Plains",0.177
30,"Montana",2009,42322,627,8,"Mountain North",0.178
31,"Nebraska",2009,47357,644,7,"Central Plains",0.163
32,"Nevada",2009,53341,993,9,"Pacific Southwest",0.223
33,"New Hampshire",2009,60567,918,1,"New England",0.182
34,"New Jersey",2009,68342,1108,2,"New York–New Jersey",0.195
35,"New Mexico",2009,43028,680,6,"South Central",0.19
36,"New York",2009,54659,984,2,"New York–New Jersey",0.216
37,"North Carolina",2009,43674,720,4,"Southeast",0.198
38,"North Dakota",2009,47827,564,8,"Mountain North",0.142
39,"Ohio",2009,45395,670,5,"Great Lakes",0.177
40,"Oklahoma",2009,41664,636,6,"South Central",0.183
41,"Oregon",2009,48457,819,10,"Pacific Northwest",0.203
42,"Pennsylvania",2009,49520,738,3,"Mid-Atlantic",0.179
44,"Rhode Island",2009,54119,890,1,"New England",0.197
45,"South Carolina",2009,42442,706,4,"Southeast",0.2
46,"South Dakota",2009,45043,562,8,"Mountain North",0.15
47,"Tennessee",2009,41725,682,4,"Southeast",0.196
48,"Texas",2009,48259,788,6,"South Central",0.196
49,"Utah",2009,55117,793,8,"Mountain North",0.173
50,"Vermont",2009,51618,829,1,"New England",0.193
51,"Virginia",2009,59330,989,3,"Mid-Atlantic",0.2
53,"Washington",2009,56548,911,10,"Pacific Northwest",0.193
54,"West Virginia",2009,37435,552,3,"Mid-Atlantic",0.177
55,"Wisconsin",2009,49993,708,5,"Great Lakes",0.17
56,"Wyoming",2009,52664,700,8,"Mountain North",0.16
72,"Puerto Rico",2009,18314,419,11,"Puerto Rico",0.275
1,"Alabama",2010,40474,667,4,"Southeast",0.198
2,"Alaska",2010,64576,981,10,"Pacific Northwest",0.182
4,"Arizona",2010,46789,844,9,"Pacific Southwest",0.216
5,"Arkansas",2010,38307,638,6,"South Central",0.2
6,"California",2010,57708,1163,9,"Pacific Southwest",0.242
8,"Colorado",2010,54046,863,8,"Mountain North",0.192
9,"Connecticut",2010,64032,992,1,"New England",0.186
10,"Delaware",2010,55847,952,3,"Mid-Atlantic",0.205
11,"District of Columbia",2010,60903,1198,3,"Mid-Atlantic",0.236
12,"Florida",2010,44409,947,4,"Southeast",0.256
13,"Georgia",2010,46430,819,4,"Southeast",0.212
15,"Hawaii",2010,63030,1291,9,"Pacific Southwest",0.246
16,"Idaho",2010,43490,683,10,"Pacific Northwest",0.188
17,"Illinois",2010,52972,848,5,"Great Lakes",0.192
18,"Indiana",2010,44613,683,5,"Great Lakes",0.184
19,"Iowa",2010,47961,629,7,"Central Plains",0.157
20,"Kansas",2010,48257,682,7,"Central Plains",0.17
21,"Kentucky",2010,40062,613,4,"Southeast",0.184
22,"Louisiana",2010,42505,736,6,"South Central",0.208
23,"Maine",2010,45815,707,1,"New England",0.185
24,"Maryland",2010,68854,1131,3,"Mid-Atlantic",0.197
25,"Massachusetts",2010,62072,1009,1,"New England",0.195
26,"Michigan",2010,45413,730,5,"Great Lakes",0.193
27,"Minnesota",2010,55459,764,5,"Great Lakes",0.165
28,"Mississippi",2010,36851,672,4,"Southeast",0.219
29,"Missouri",2010,44301,682,7,"Central Plains",0.185
30,"Montana",2010,42666,642,8,"Mountain North",0.181
31,"Nebraska",2010,48408,669,7,"Central Plains",0.166
32,"Nevada",2010,51001,952,9,"Pacific Southwest",0.224
33,"New Hampshire",2010,61042,951,1,"New England",0.187
34,"New Jersey",2010,67681,1114,2,"New York–New Jersey",0.198
35,"New Mexico",2010,42090,699,6,"South Central",0.199
36,"New York",2010,54148,1020,2,"New York–New Jersey",0.226
37,"North Carolina",2010,43326,731,4,"Southeast",0.202
38,"North Dakota",2010,48670,583,8,"Mountain North",0.144
39,"Ohio",2010,45090,685,5,"Great Lakes",0.182
40,"Oklahoma",2010,42072,659,6,"South Central",0.188
41,"Oregon",2010,46560,816,10,"Pacific Northwest",0.21
42,"Pennsylvania",2010,49288,763,3,"Mid-Atlantic",0.186
44,"Rhode Island",2010,52254,868,1,"New England",0.199
45,"South Carolina",2010,42018,728,4,"Southeast",0.208
46,"South Dakota",2010,45904,591,8,"Mountain North",0.154
47,"Tennessee",2010,41461,697,4,"Southeast",0.202
48,"Texas",2010,48615,801,6,"South Central",0.198
49,"Utah",2010,54744,796,8,"Mountain North",0.174
50,"Vermont",2010,49406,823,1,"New England",0.2
51,"Virginia",2010,60674,1019,3,"Mid-Atlantic",0.202
53,"Washington",2010,55631,908,10,"Pacific Northwest",0.196
54,"West Virginia",2010,38218,571,3,"Mid-Atlantic",0.179
55,"Wisconsin",2010,49001,715,5,"Great Lakes",0.175
56,"Wyoming",2010,53512,693,8,"Mountain North",0.155
72,"Puerto Rico",2010,18862,429,11,"Puerto Rico",0.273
1,"Alabama",2011,41415,687,4,"Southeast",0.199
